stance,pro_n,con_n,total_n,model
5,4,2,6,JST
1,3,3,6,LDA
2,2,4,6,JST
5,2,4,6,VODUM
1,4,2,6,LAM
5,0,6,6,TFIDF
2,2,4,6,VODUM
5,3,3,6,LDA
5,3,3,6,VODUM
5,3,3,6,TFIDF
2,3,3,6,JST
3,2,4,6,TFIDF
3,4,2,6,LDA
5,6,0,6,JST
4,2,4,6,LAM
4,3,3,6,TAM
5,1,5,6,TAM
5,3,3,6,TAM
5,2,4,6,TAM
5,3,3,6,TAM
4,2,4,6,TAM
5,3,3,6,TAM
4,3,3,6,TAM
5,3,3,6,TAM
5,4,2,6,TAM
1,3,3,6,TAM
3,3,3,6,TAM
5,3,3,6,TAM
4,4,2,6,TAM
5,3,3,6,TAM
5,3,3,6,TAM
1,4,2,6,TAM
3,3,3,6,TAM
2,3,3,6,TAM
5,5,1,6,TAM
5,3,3,6,TAM
4,2,4,6,TAM
2,2,4,6,TAM
4,2,4,6,TAM
4,3,3,6,TAM
2,2,4,6,TAM
1,2,4,6,TAM
4,2,4,6,TAM
4,2,4,6,LAM
5,2,4,6,JST
1,2,4,6,LDA
5,2,4,6,VODUM
5,2,4,6,LAM
5,4,2,6,TFIDF
5,3,3,6,LAM
5,1,5,6,VODUM
5,1,5,6,LAM
5,2,4,6,LDA
5,2,4,6,JST
5,2,4,6,JST
5,2,4,6,LDA
1,1,5,6,JST
5,2,4,6,LAM
4,2,4,6,JST
5,2,4,6,LDA
5,3,3,6,LDA
5,2,4,6,LAM
5,3,3,6,VODUM
5,4,2,6,LDA
5,3,3,6,VODUM
5,2,4,6,JST
5,1,5,6,LAM
5,2,4,6,LAM
5,2,4,6,LAM
5,3,3,6,VODUM
5,3,3,6,TFIDF
5,3,3,6,VODUM
5,3,3,6,TFIDF
5,2,4,6,JST
2,2,4,6,LDA
5,3,3,6,JST
5,1,5,6,JST
3,2,4,6,TFIDF
4,2,4,6,JST
4,3,3,6,JST
5,3,3,6,TFIDF
3,3,3,6,JST
5,0,6,6,LAM
5,2,4,6,TFIDF
5,2,4,6,LAM
5,3,3,6,VODUM
5,1,5,6,TFIDF
5,3,3,6,VODUM
5,3,3,6,TFIDF
5,3,3,6,LAM
5,1,5,6,JST
5,3,3,6,LDA
5,5,1,6,TFIDF
4,3,3,6,JST
5,2,4,6,LAM
4,2,4,6,LDA
4,2,4,6,VODUM
5,3,3,6,JST
5,4,2,6,LDA
5,2,4,6,VODUM
5,2,4,6,VODUM
5,3,3,6,VODUM
5,2,4,6,LDA
5,4,2,6,LDA
5,2,4,6,JST
5,1,5,6,LAM
2,3,3,6,LAM
5,2,4,6,LDA
2,2,4,6,TFIDF
5,4,2,6,LAM
5,1,5,6,TFIDF
4,4,2,6,TFIDF
3,1,5,6,LAM
4,2,4,6,JST
1,5,1,6,TFIDF
3,3,3,6,VODUM
4,2,4,6,LAM
2,3,3,6,TFIDF
4,2,4,6,JST
2,4,2,6,JST
5,5,1,6,LDA
1,3,3,6,LAM
2,2,4,6,VODUM
4,2,4,6,TFIDF
4,3,3,6,LDA
2,2,4,6,LAM
4,3,3,6,LAM
3,3,3,6,TFIDF
4,4,2,6,TFIDF
1,4,2,6,JST
3,3,3,6,TFIDF
3,4,2,6,TFIDF
5,2,4,6,VODUM
5,1,5,6,JST
5,3,3,6,LDA
1,3,3,6,LAM
5,3,3,6,VODUM
2,3,3,6,LDA
3,6,0,6,JST
4,2,4,6,VODUM
5,5,1,6,LAM
2,4,2,6,LDA
5,2,4,6,TFIDF
3,2,4,6,TFIDF
1,4,2,6,LAM
1,2,4,6,VODUM
2,2,4,6,JST
1,3,3,6,VODUM
1,3,3,6,JST
4,3,3,6,LAM
2,4,2,6,VODUM
5,4,2,6,TFIDF
3,3,3,6,VODUM
3,1,5,6,LAM
3,2,4,6,LAM
2,3,3,6,VODUM
2,3,3,6,LDA
1,3,3,6,TFIDF
